species,mean_abs_shap,direction,phylum
Eubacterium eligens,0.001797546138327952,CD↑,Other/Unclassified
Veillonella atypica,0.0017106987141381408,CD↑,Other/Unclassified
Bacteroides dorei,0.0016757910598302582,CD↑,Bacteroidetes
Blautia wexlerae,0.0016689416600169588,CD↑,Firmicutes
Bacteroides cellulosilyticus,0.0016400504045221735,CD↑,Bacteroidetes
Clostridium leptum,0.0016276310221230172,CD↑,Firmicutes
Blautia sp CAG 257,0.00153187307554972,CD↑,Firmicutes
Roseburia faecis,0.001522279030078247,CD↑,Firmicutes
Anaeromassilibacillus sp An250,0.001513059504985658,CD↑,Other/Unclassified
Dorea longicatena,0.0014682006201821524,CD↑,Other/Unclassified
Collinsella aerofaciens,0.0014669932563052329,CD↑,Actinobacteria
Agathobaculum butyriciproducens,0.001428191696813567,CD↓,Other/Unclassified
Bacteroides faecis CAG 32,0.0013715486054237912,CD↑,Bacteroidetes
Coprococcus comes,0.0013179139869654774,CD↑,Other/Unclassified
Butyricimonas virosa,0.0012896919196901508,CD↓,Other/Unclassified
Escherichia coli,0.0012513949960619645,CD↑,Proteobacteria
Bifidobacterium pseudocatenulatum,0.001228183797904246,CD↓,Actinobacteria
Streptococcus thermophilus,0.0011925391809653834,CD↓,Other/Unclassified
Bacteroides intestinalis,0.0011619380722953558,CD↓,Bacteroidetes
Coprococcus catus,0.0011601011150649684,CD↑,Other/Unclassified
Ruthenibacterium lactatiformans,0.0011390933984760257,CD↓,Other/Unclassified
Eubacterium ramulus,0.0011210090370624265,CD↑,Other/Unclassified
Paraprevotella xylaniphila,0.0010741135269916242,CD↓,Other/Unclassified
Monoglobus pectinilyticus,0.0010286517093913757,CD↑,Other/Unclassified
Eisenbergiella tayi,0.000996805806529622,CD↑,Other/Unclassified
Intestinibacter bartlettii,0.0009763173467855418,CD↑,Other/Unclassified
Prevotella copri,0.0009664077222151893,CD↓,Other/Unclassified
Collinsella stercoris,0.0009509332462532055,CD↓,Actinobacteria
Eubacterium hallii,0.0008783902324261189,CD↓,Other/Unclassified
Ruminococcaceae bacterium D16,0.0007878709017357779,CD↑,Other/Unclassified
Anaerotruncus colihominis,0.0006861194366218449,CD↑,Other/Unclassified
