,precision,recall,f1-score,support
Crohns Disease,0.6441717791411042,0.7241379310344828,0.6818181818181818,145.0
Healthy,0.40625,0.3058823529411765,0.348993288590604,85.0
Ulcerative Colitis,0.23076923076923078,0.24489795918367346,0.2376237623762376,49.0
accuracy,0.5125448028673835,0.5125448028673835,0.5125448028673835,0.5125448028673835
macro avg,0.42706366997011164,0.4249727477197776,0.4228117442616745,279.0
weighted avg,0.4990819006564603,0.5125448028673835,0.5024072768827,279.0
