species,p_raw,clr_fc,mean_CD,mean_H,p_adj,-log10p,significant,direction
Parabacteroides merdae,0.44062733354559436,-0.5807710643531729,1.8382820154031516,2.4190530797563246,0.484293105338401,0.3148917137632919,False,ns
Butyricimonas synergistica,0.4698371913358127,-0.5824616646272455,-1.3433573287344225,-0.760895664107177,0.5117869405622245,0.2909108003443484,False,ns
Bacteroides massiliensis,0.6914295300992501,-1.0426884364890967,-0.790258392941252,0.25243004354784465,0.7464991386912257,0.12697068902651595,False,ns
Anaerostipes hadrus,0.7684717958058501,-0.11266155428129654,2.0633891029729017,2.176050657254198,0.8223996411255589,0.08491708786390587,False,ns
Parasutterella excrementihominis,0.7866678195406911,0.010737675306777161,0.820041481302497,0.8093038059957198,0.8345519476866462,0.07854662496258,False,ns
Ruthenibacterium lactatiformans,0.8286065442258856,-0.046501746372942576,0.6247527547188305,0.6712545010917731,0.8714655034099832,0.059749799575452796,False,ns
Parabacteroides distasonis,0.848595063578512,-0.4894375207449171,3.412129393104869,3.901566913849786,0.884859809885286,0.053125529998167484,False,ns
Bacteroides caccae,0.8812112530391873,-0.48972837205383524,3.0341205495062056,3.523848921560041,0.9110828209388209,0.04044214219075503,False,ns
Bacteroides finegoldii,0.9070876144189525,-1.0002372729549922,-1.226771226769728,-0.22653395381473565,0.9178991193152763,0.037205046829442104,False,ns
Odoribacter splanchnicus,0.9103753560422003,-0.4633050188376764,1.6959634742050391,2.1592684930427155,0.9178991193152763,0.037205046829442104,False,ns
Bacteroides eggerthii,0.8963225800522157,-0.8612558034821312,-1.3548273408303249,-0.49357153734819376,0.9178991193152763,0.037205046829442104,False,ns
Lachnospira pectinoschiza,0.9874063450758379,-0.5470983599399849,-0.07125344302457681,0.4758449169154081,0.9874063450758379,0.005504086330008232,False,ns
