Crohns Disease,Healthy,Ulcerative Colitis
-0.012163766839215924,0.005502437363676909,0.0066613294755390245
-0.0003281096584748978,0.003077523109504753,-0.0027494134510298598
0.0026577884812308992,-0.003884043974037224,0.0012262554928063043
0.00660182016907612,0.008200602971032684,-0.014802423140108814
-0.002129941260058374,0.0010143548556615111,0.0011155864043968678
0.0026829300266218398,-0.003542957287694097,0.0008600272610722598
-0.010542879399026633,0.001884581194451933,0.008658298204574675
-0.006421668266101906,0.0024065054490254867,0.004015162817076396
-0.001523217653233907,0.0008079634846678061,0.0007152541685661107
-0.00396250545069553,0.0014802293369584193,0.002482276113737105
0.010630543663846923,-0.003846012513866648,-0.006784531149980274
-0.002416102055992682,-0.0006878041490512534,0.0031039062050439285
0.0008131293521556073,-0.0012385631193655676,0.0004254337672099256
-0.006987216936377576,0.009800927479442329,-0.0028137105430647465
0.002648178028783151,0.002687471698642312,-0.005335649727425548
-0.0018064822263049933,0.0009396385443783578,0.0008668436819265179
-0.0009967519019310484,-0.00391793880245875,0.004914690704389718
0.001054953696404616,-0.0005443807526641234,-0.0005105729437404926
0.0015860097888343876,-0.0004968584681860992,-0.0010891513206482757
0.00047006300142218057,-0.00043623076024992217,-3.383224117225557e-05
-0.0008364532699329665,0.0009969991342480215,-0.00016054586431506188
0.0020610061743202633,-0.0015962010781025422,-0.00046480509621778617
0.0007159347299512367,-0.001767209014982497,0.001051274285031358
-0.0036059978776449026,0.0016935556949658399,0.001912442182679112
-0.0012220693328465631,-0.0027491097392931116,0.003971179072139624
0.0007126940798646874,-0.002496256062215033,0.001783561982350335
0.0021636812921936254,-0.01244599327162819,0.010282311979434581
0.001812161173039956,0.0014517661748426228,-0.0032639273478825706
-0.0017514953419385272,0.0006207712143262308,0.0011307241276119829
0.01507009436613119,0.004985398463173458,-0.020055492829304522
0.0018232114193798413,-0.0018768774916668172,5.3666072286975645e-05
0.00014340456674225648,0.0003153335754008832,-0.0004587381421431405
0.012793992153564915,-0.011141281471887575,-0.0016527106816772881
0.0009455264367239008,-0.0007449001628224672,-0.0002006262739014612
-0.0064062928132613325,-0.02222310215568882,0.028629394968950145
0.0019954869616320005,0.0021091923848455727,-0.004104679346477602
-0.0020162394117213813,0.004006214667319,-0.0019899752555976374
-0.0023660276191010453,0.004609501034092965,-0.002243473414991932
0.003198744692984498,-0.0047322562816871465,0.0015335115887026333
-0.0015223985288508643,-0.00030819470447816604,0.0018305932333288987
